feature_id,feature,encoding,name
818b72f4-cbe5-43b8-8fe4-df8c84652a45,danceability,low,Danceability (Low)
c01bbfb7-2500-442c-8723-81dc9c707811,danceability,medium,Danceability (Medium)
148c0de9-58a0-4b8e-8b6c-b9ce6008ec61,danceability,high,Danceability (High)
083feaff-ee83-439e-b127-bc93cd1ac61d,energy,low,Energy (Low)
f1f14eb3-8170-4ea8-a724-8522884f20cc,energy,medium,Energy (Medium)
fe379e72-4787-4761-957d-ecf11c347acc,energy,high,Energy (High)
88af0e6b-302a-4f88-a89f-230f26975542,speechiness,low,Speechiness (Low)
9af84868-7987-4d7f-84bf-718341615399,speechiness,medium,Speechiness (Medium)
b80095fc-bdde-4fde-8b34-20a76ae61f8b,speechiness,high,Speechiness (High)
3ce25a0c-fec7-4394-b504-c7194ae3fe3e,acousticness,low,Acousticness (Low)
a70b7531-98d2-4a2e-a0d6-287003a9088b,acousticness,medium,Acousticness (Medium)
abe8fc53-f856-49a0-88a0-ccb95d752cba,acousticness,high,Acousticness (High)
99a3de53-f5a6-4bde-98bc-b76e5f59a209,liveness,low,Liveness (Low)
22748339-d699-4177-acd6-7604556e5c21,liveness,medium,Liveness (Medium)
d055453b-0a5c-488e-b635-18033fa21f3a,liveness,high,Liveness (High)
90875bdb-6cec-4068-b695-261d0b401911,valence,low,Valence (Low)
468c0ea1-fbba-4f61-8ea1-624c7bbd5fe5,valence,medium,Valence (Medium)
86f76fc2-987a-4652-8b8a-d9627ba9e6d6,valence,high,Valence (High)
8d26f3b0-508e-4658-b6a8-441ecb41282c,tempo,low,Tempo (Low)
a485f1c6-8555-485b-b78e-e5538978e49b,tempo,medium,Tempo (Medium)
c19d95d3-e1d7-41c3-85b9-7c7910968704,tempo,high,Tempo (High)
699a50fc-6697-4a5c-86c4-bd4b9e6b20a4,duration_ms,low,Duration (Low)
78604a02-bfd9-49ea-8ed3-6f59ff8b1e8e,duration_ms,medium,Duration (Medium)
5f2eff7f-6707-413b-885e-aa49ca1ea095,duration_ms,high,Duration (High)
dc9c6c09-d444-414a-b31b-00498829d6b9,mode,Minor,Mode (Minor)
a3bc5b6c-4b1f-4714-b9d9-f691a0433247,mode,Major,Mode (Major)
67eaa9db-2cfa-4456-8356-9b78e3ef0d03,key,C,Key (C)
45bb2200-658d-4fd3-ab04-48fd7b1813e8,key,C#,Key (C#)
40205c89-fa76-4e22-ac67-0fa0ac2fd64d,key,D,Key (D)
68ad3068-c892-439c-a863-39450fb68ad3,key,D#,Key (D#)
42de1813-0455-467c-976e-807a5f3a0dcf,key,E,Key (E)
d38c8ee1-cd0a-43fe-8a7b-bd190f986576,key,F,Key (F)
3f4b0943-d9a9-47db-9ca8-39c53ee79e4a,key,F#,Key (F#)
1747ce95-d67a-46a7-b901-7dc400401698,key,G,Key (G)
19a1ca62-c449-4669-aaf6-bc94e9f53454,key,G#,Key (G#)
5ebc1778-da60-4b2d-b0ea-fa593599cd90,key,A,Key (A)
6573b995-0d43-4ae3-acc9-5c3dc189af6c,key,A#,Key (A#)
7cd56984-c6e3-4813-8362-37a42744fb7a,key,B,Key (B)
04d10fa6-5d3c-4bfe-8859-fbc97daa2711,loudness,low,Loudness (Low)
d5a8c269-eadf-4765-8af2-ff0ebba0ce31,loudness,high,Loudness (High)
f69d0258-079a-4991-a01b-285267a078f9,instrumentalness,low,Instrumentalness (Low)
a1a618a7-740b-4e26-836a-fdef35938159,instrumentalness,high,Instrumentalness (High)
ac3a67d9-8331-4058-b14b-ce69f13eb984,time_signature,1,Time Signature (1)
b0614ef9-f9ff-44cf-b455-287040181475,time_signature,2,Time Signature (2)
dc3819bc-ee8e-48b1-af49-409e9ac9d8f6,time_signature,3,Time Signature (3)
b7d2925e-52d7-4074-b45e-66cafb638330,time_signature,4,Time Signature (4)
