,word
0,song
1,body
2,puede
3,case
4,beauty
5,mejor
6,send
7,noche
8,dive
9,boyfriend
10,lot
11,ring
12,truck
13,bring
14,fall
15,touch
16,bedroom
17,ready
18,break
19,run
20,stone
21,ropa
22,waste
23,clear
24,warm
25,water
26,car
27,funny
28,back
29,quiere
30,call
31,flow
32,weekend
33,cheap
34,noise
35,rebel
36,friend
37,away
38,tree
39,dime
40,copa
41,problem
42,fly
43,passion
44,hacer
45,fat
46,fake
47,pocket
48,wish
49,niggas
50,rain
51,burn
52,pretty
53,rich
54,jump
55,mile
56,visto
57,burnin
58,comb
59,turn
60,nigga
61,sleeping
62,love
63,stop
64,bout
65,beach
66,pie
67,stick
68,fotos
69,aunque
70,shoot
71,fault
72,feeling
73,holdin
74,daylight
75,kiss
76,truth
77,play
78,change
79,night
80,alive
81,ghost
82,daddy
83,put
84,pickin
85,voy
86,shake
87,vida
88,thinkin
89,eye
90,bitch
91,crazy
92,leave
93,perfect
94,mind
95,insane
96,settle
97,habit
98,wrong
99,arm
100,fresh
101,kick
102,tap
103,bone
104,remember
105,tomando
106,hold
107,make
108,tonight
109,someday
110,rock
111,shady
112,different
113,force
114,hole
115,fuck
116,home
117,day
118,magic
119,give
120,big
121,real
122,bottle
123,talk
124,roll
125,lookin
126,side
127,low
128,hood
129,bed
130,cruise
131,sweet
132,time
133,repeat
134,watch
135,kill
136,memory
137,summer
138,beber
139,text
140,cry
141,know
142,speed
143,drive
144,pain
145,soul
146,baile
147,stay
148,bear
149,cabr
150,beb
151,world
152,heart
153,find
154,tide
155,record
156,sing
157,head
158,gimme
159,jeweler
160,lady
161,control
162,game
163,clothe
164,sneak
165,year
166,quisiera
167,midnight
168,breath
169,forever
170,go
171,lose
172,carry
173,store
174,promise
175,player
176,murder
177,cuerpo
178,wake
179,embe
180,block
181,aqu
182,light
183,cheek
184,chance
185,tre
186,mean
187,hard
188,foot
189,lil
190,ride
191,somethin
192,root
193,damn
194,ticket
195,eat
196,girl
197,wood
198,hang
199,comin
200,flore
201,hit
202,guy
203,hand
204,bleed
205,young
206,miracle
207,attention
208,muerte
209,move
210,place
211,wait
212,rise
213,laugh
214,crime
215,tower
216,step
217,hoe
218,star
219,bag
220,pare
221,honey
222,stuck
223,super
224,parent
225,extra
226,wrap
227,ver
228,solo
229,darkness
230,close
231,trip
232,round
233,think
234,bent
235,cool
236,sit
237,cualquier
238,likeembe
239,picture
240,wit
241,air
242,storm
243,thing
244,siempre
245,hell
246,walk
247,drunk
248,feel
249,shock
250,pop
251,clase
252,high
253,view
254,long
255,ahead
256,hot
257,nadie
258,fun
259,set
260,bar
261,baby
262,thick
263,glock
264,gyal
265,woman
266,beso
267,wild
268,cherry
269,live
270,boy
271,pussy
272,hear
273,movin
274,gun
275,beautiful
276,embed
277,get
278,adore
279,dale
280,shit
281,quedar
282,beat
283,lay
284,dance
