,0
0,shoot
1,mean
2,pickin
3,happen
4,bottle
5,sexo
6,hit
7,story
8,babe
9,chingar
10,sorry
11,gettin
12,vece
13,jump
14,free
15,fall
16,snap
17,bitch
18,quick
19,midnight
20,crash
21,cry
22,meet
23,solo
24,pocket
25,fly
26,grow
27,gon
28,home
29,lookin
30,persona
31,baile
32,lil
33,disappear
34,anti
35,nunca
36,doin
37,string
38,breath
39,cabr
40,laughter
41,club
42,bar
43,numb
44,today
45,rich
46,haga
47,talk
48,water
49,beb
50,tap
51,liar
52,young
53,put
54,paro
55,life
56,wit
57,hacer
58,short
59,sayin
60,pare
61,ahead
62,fight
63,gyal
64,pen
65,wild
66,silver
67,lonely
68,play
69,diamond
70,money
71,super
72,chain
73,rap
74,frente
75,heat
76,thick
77,give
78,high
79,sabe
80,mark
81,spark
82,dirt
83,mejor
84,voy
85,murder
86,counter
87,skrrt
88,dale
89,watch
90,ready
91,flow
92,wise
93,door
94,stare
95,soul
96,ride
97,away
98,altura
99,learn
100,back
101,pussy
102,floor
103,find
104,fine
105,go
106,cash
107,pack
108,music
109,morning
110,expect
111,mistake
112,jacket
113,light
114,middle
115,time
116,monster
117,set
118,summer
119,arm
120,make
121,hear
122,day
123,friend
124,key
125,bag
126,aqu
127,wave
128,ugly
129,question
130,night
131,lady
132,niggas
133,hoe
134,moon
135,dance
136,body
137,save
138,lip
139,wide
140,sweet
141,puede
142,fuck
143,feel
144,crack
145,shock
146,thing
147,different
148,kiss
149,full
150,boyfriend
151,tonight
152,drink
153,hood
154,mono
155,easy
156,throw
157,vacancy
158,trip
159,hand
160,pass
161,low
162,extra
163,moment
164,hollow
165,bite
166,match
167,break
168,dio
169,ven
170,coffee
171,lose
172,drown
173,baby
174,get
175,lock
176,wonderin
177,somethin
178,real
179,ass
180,hell
181,aunque
182,wish
183,shake
184,cuerpo
185,think
186,hard
187,hero
188,rain
189,bear
190,memory
191,glock
192,eye
193,dope
194,bring
195,clear
196,puse
197,truth
198,shit
199,hour
200,bout
201,drum
202,dime
203,car
204,big
205,force
206,road
207,truck
208,pistol
209,crazy
210,esconde
211,tell
212,mind
213,reach
214,win
215,feeling
216,game
217,ticket
218,girl
219,sentir
220,enchant
221,broken
222,awake
223,spend
224,slowly
225,que
226,tooth
227,love
228,remember
229,damn
230,sexy
231,shy
232,stone
233,vino
234,quiere
235,round
236,vuelta
237,guard
238,mirror
239,slow
240,ough
241,heart
242,run
243,safe
244,rock
245,hold
246,leave
247,ver
248,blood
249,anymore
250,comin
251,wanna
252,smile
253,miracle
254,figure
255,boy
256,diste
257,drive
258,root
259,nigga
260,cover
261,hot
262,deep
263,lot
264,burn
265,pull
266,ndote
267,world
268,conversation
269,waitin
270,tre
271,walk
272,linger
273,waste
274,barrio
275,smoke
276,nadie
277,gimme
278,know
279,pop
280,demon
